cca_num,Population,cca_name
1,55711,Rogers Park
2,79265,West Ridge
3,57464,Uptown
4,42271,Lincoln Square
5,35814,North Center
6,101739,Lake View
7,69099,Lincoln Park
8,101208,Near North Side
9,11402,Edison Park
10,39645.6990201516,Norwood Park
11,27032,Jefferson Park
12,19855,Forest Glen
13,19398,North Park
14,47663,Albany Park
15,64213,Portage Park
16,53584,Irving Park
17,42574,Dunning
18,13765,Montclare
19,73991,Belmont Cragin
20,23157,Hermosa
21,36374,Avondale
22,71384.28712495252,Logan Square
23,55416,Humboldt Park
24,86349.71287504748,West Town
25,100120,Austin
26,16374,West Garfield Park
27,19901,East Garfield Park
28,65581,Near West Side
29,30409,North Lawndale
30,69708,South Lawndale
31,34237,Lower West Side
32,41671,Loop
33,28216,Near South Side
34,13232.75174941686,Armour Square
35,21355,Douglas
36,6977,Oakland
37,2232.9069493521793,Fuller Park
38,24813,Grand Boulevard
39,18637,Kenwood
40,12366,Washington Park
41,29559,Hyde Park
42,24223.12329514457,Woodlawn
43,55395.87670485543,South Shore
44,31374.705769230768,Chatham
45,9613.294230769232,Avalon Park
46,30315,South Chicago
47,2246,Burnside
48,12087,Calumet Heights
49,37610,Roseland
50,6856,Pullman
51,15218,South Deering
52,23858.53452685422,East Side
53,25449,West Pullman
54,7817,Riverdale
55,9108.46547314578,Hegewisch
56,36401,Garfield Ridge
57,13867,Archer Heights
58,42243,Brighton Park
59,15479,McKinley Park
60,33181.248250583136,Bridgeport
61,40957.09305064782,New City
62,18366,West Elsdon
63,34788,Gage Park
64,24728,Clearing
65,32594,West Lawn
66,52464,Chicago Lawn
67,25772,West Englewood
68,21378,Englewood
69,28991,Greater Grand Crossing
70,42745,Ashburn
71,46468,Auburn Gresham
72,19781,Beverly
73,26456,Washington Heights
74,19121,Mount Greenwood
75,20727.62840599455,Morgan Park
76,14023.559485530546,O'Hare
77,56099,Edgewater
